"Model","Estimation","X2","df","CFI","TLI","RMSEA","SRMR","AIC","n","npar","R2"
"MMI","Standard","119.2","68","0.96","0.93","0.05","0.05","4348.39","272","67",0.44
"MMI","Robust","113.9","68","0.97","0.94","0.05","0.05","4348.39","272","67",0.44
