"lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"Lpt01_XCMGW","~1","","",0.496215317338504,0.234276517274968,2.11807535433055,0.0341686864077408,0.0370417810560916,0.955388853620917
"Lpt01_XCMGW","~","W1_HAG","ha3",-0.213915562287853,0.0528183069340015,-4.05002686956908,5.12117523767674e-05,-0.317437541602878,-0.110393582972828
"Lpt01_XCMGW","~","W1_HNOAG","na2",-0.227633708571221,0.0738735325005704,-3.08139736744636,0.00206031490232861,-0.372423171683088,-0.0828442454593539
"Lpt01_XCMGW","~","L_NABD_NrmStorWs_ratio","d3",0.181315812791922,0.069519749834635,2.60811946566571,0.00910411744539608,0.0450596069018031,0.317572018682041
"Lpt01_XCMGW","~","L_STRM_POWER","sp3",0.320462257764133,0.0686852955265346,4.66566031793998,3.07627535400812e-06,0.185841552264635,0.455082963263631
"Lpt01_XCMGW","~","PSUMPY_SY_WS_sc","p5",0.126839435499116,0.0570440140937005,2.22353629060481,0.0261796591064281,0.0150352223418673,0.238643648656364
"L_STRM_POWER","~1","","",-2.81296625474534,0.096361237656003,-29.1918858990506,0,-3.00183081005681,-2.62410169943387
"L_STRM_POWER","~","L_NABD_NrmStorWs_ratio","d2",-0.444075819654571,0.0555683079495483,-7.99153035319624,1.33226762955019e-15,-0.552987701917517,-0.335163937391626
"L_STRM_POWER","~","asin_PCTFORGRS_CATRP100","rn3",0.186374635826473,0.0477061670030215,3.90671998055658,9.35574688332164e-05,0.092872266660098,0.279877004992849
"LOE_QLow_cl","~1","","",-1.48346858056233,0.106535181851668,-13.9246824830862,0,-1.69227370007803,-1.27466346104664
"LOE_QLow_cl","~","asin_PCTIMP_WsRp100","i6",0.201701459374111,0.0639986520305142,3.15165168288139,0.00162349814278562,0.0762664063351917,0.32713651241303
"LOE_QLow_cl","~","PSUMPY_SY_WS_sc","p6",0.173086729128185,0.0540008400624144,3.20525993536639,0.00134940558426355,0.0672470274709453,0.278926430785425
"LOE_QLow_cl","~","L_NABD_NrmStorWs_ratio","d4",-0.390638804241263,0.05003166768987,-7.80783096543386,5.77315972805081e-15,-0.488699070999885,-0.292578537482642
"LOE_QLow_cl","~","W1_HNOAG","na3",0.124601040294427,0.055819221091234,2.23222463263636,0.0256001201715377,0.0151973773105302,0.234004703278325
"LOE_Qbkf_cl","~1","","",-1.05044233787412,0.138461976490847,-7.58650399551068,3.28626015289046e-14,-1.32182282502441,-0.779061850723824
"LOE_Qbkf_cl","~","asin_PCTIMP_WsRp100","i7",0.136292770839865,0.063193939135157,2.15673801483345,0.0310260832141236,0.0124349260937405,0.260150615585989
"LOE_Qbkf_cl","~","PSUMPY_SY_WS_sc","p7",0.239899577073817,0.0499080915636478,4.80682730109751,1.53344344022699e-06,0.14208151507194,0.337717639075694
"LOE_Qbkf_cl","~","L_NABD_NrmStorWs_ratio","d5",-0.295343958287842,0.0572039052050008,-5.16300342134724,2.43018696499675e-07,-0.407461552264687,-0.183226364310997
"LOE_Qbkf_cl","~","drought_mean","ph3",0.138633748803661,0.0557979566228835,2.48456676900612,0.0129709181341107,0.0292717634118813,0.247995734195441
"evap_index_sc","~1","","",0.54350456426353,0.191741822919136,2.83456449922636,0.0045888193712984,0.167697497011967,0.919311631515093
"evap_index_sc","~","LOE_QLow_cl","l5",-0.283626190630645,0.05349983653988,-5.30144032158347,1.1489260653974e-07,-0.388483943427589,-0.1787684378337
"evap_index_sc","~","LOE_Qbkf_cl","b3",-0.128501356253588,0.0601410901188755,-2.13666489914949,0.0326252568902545,-0.246375726877561,-0.0106269856296139
"evap_index_sc","~","PSUMPY_SY_WS_sc","p8",-0.193327198571363,0.0395369207379654,-4.88978896087172,1.00944141134818e-06,-0.27081813927739,-0.115836257865336
"evap_index_sc","~","L_NABD_NrmStorWs_ratio","d6",0.148513192693268,0.0607913342384224,2.44299939380837,0.0145657617475792,0.0293643670138232,0.267662018372712
"evap_index_sc","~","L_STRM_POWER","sp4",-0.253945329278302,0.0563104651894208,-4.50973595092962,6.490836537143e-06,-0.364311813002263,-0.143578845554341
"LRBS_use","~1","","",-1.68379855226734,0.167830183514522,-10.032751660083,0,-2.01273966747455,-1.35485743706013
"LRBS_use","~","asin_PCTIMP_WsRp100","i2",-0.15743110156272,0.0578330361995321,-2.72216559786972,0.00648556343826256,-0.270781769630404,-0.0440804334950362
"LRBS_use","~","LOE_QLow_cl","l2",0.176635910253997,0.0740740399586557,2.38458588666942,0.0170983563174922,0.0314534597456513,0.321818360762343
"LRBS_use","~","LOE_Qbkf_cl","b2",-0.377088276679408,0.0626899223381357,-6.01513389417642,1.79738068872837e-09,-0.499958266655767,-0.254218286703049
"LRBS_use","~","W1_HAG","ha2",-0.180540949236344,0.0535022957898742,-3.37445237762139,0.000739627120114328,-0.285403522074707,-0.0756783763979817
"LRBS_use","~","asin_PCTFORGRS_CATRP100","rn2",0.178868765410601,0.0573844307520509,3.1170260481186,0.00182685429918705,0.0663973478632485,0.291340182957953
"LRBS_use","~","PSUMPY_SY_WS_sc","p2",0.300139425215886,0.0568532716675318,5.27919355232624,1.29753688016265e-07,0.188709060344252,0.41156979008752
"LRBS_use","~","L_STRM_POWER","sp2",-0.209499395013657,0.0621200744239152,-3.37249104989809,0.000744915074847086,-0.331252503601478,-0.0877462864258356
"L_NTL","~1","","",-1.69163194011514,0.0850748935571917,-19.8840324023201,0,-1.85837566747581,-1.52488821275446
"L_NTL","~","asin_PCTIMP_WsRp100","i3",0.367136777148551,0.0714430193733179,5.13887543344321,2.76387533304501e-07,0.22711103223005,0.507162522067051
"L_NTL","~","Lpt01_XCMGW","x2",-0.133825634038639,0.0551340380349113,-2.42727793588962,0.0152125966337799,-0.241886362909327,-0.0257649051679517
"L_NTL","~","LOE_QLow_cl","l3",-0.318990232083668,0.0576274397478269,-5.53538788951138,3.10540320125341e-08,-0.43193793851066,-0.206042525656675
"L_NTL","~","PSUMPY_SY_WS_sc","p3",-0.130281994830731,0.0516060301892935,-2.52454983173187,0.0115846579477981,-0.231427955386833,-0.0291360342746289
"L_SULF","~1","","",1.36746217016612,0.13136280872647,10.4098122095845,0,1.10999579615422,1.62492854417803
"L_SULF","~","asin_PCTIMP_WsRp100","i4",0.167376410861193,0.0435947707359453,3.83936898934499,0.0001233509291243,0.0819322303044594,0.252820591417926
"L_SULF","~","evap_index_sc","e2",0.111205553526307,0.0484722413575832,2.29421108683495,0.0217783767875517,0.016201706215511,0.206209400837103
"L_SULF","~","W1_HNOAG","na4",0.102203601583743,0.0480841887445746,2.12551369279939,0.0335437727457115,0.0079603234185511,0.196446879748936
"L_SULF","~","asin_PCTFORGRS_CATRP100","rn4",-0.11315972298659,0.0450231609464266,-2.51336691178212,0.0119584889197717,-0.201403496911736,-0.0249159490614431
"L_SULF","~","LOE_QLow_cl","l4",-0.309137174297022,0.0536613231545664,-5.76089362177263,8.36697622297322e-09,-0.414311435042737,-0.203962913551306
"L_SULF","~","PSUMPY_SY_WS_sc","p4",-0.311418627083652,0.0572824203053715,-5.43654799192292,5.43227125504586e-08,-0.423690107829466,-0.199147146337838
"L_SULF","~","drought_mean","ph2",-0.130904544079822,0.0484613615616575,-2.70121473812229,0.00690867167129872,-0.225887067382444,-0.0359220207771996
"INCISION","~1","","",0.274213175772637,0.126840000390129,2.16188248919288,0.0306272350586454,0.0256113432089383,0.522815008336336
"INCISION","~","asin_PCTIMP_WsRp100","i5",0.163894893052959,0.0563369802242276,2.90918846556273,0.00362368339538333,0.0534764408157272,0.27431334529019
"OE_SCORE","~1","","",4.07397975489772,0.254622572240315,16.0000730455769,0,3.57492868365576,4.57303082613969
"OE_SCORE","~","LRBS_use","r1",0.170581920210492,0.0550276189376501,3.09993278836528,0.00193564560868609,0.0627297689377034,0.27843407148328
"OE_SCORE","~","L_NTL","n1",-0.190140996213517,0.0584432653325077,-3.25342869074353,0.00114021339139181,-0.304687691404151,-0.0755943010228839
"OE_SCORE","~","L_SULF","su1",-0.263451080123156,0.0592606530475371,-4.44563241501615,8.76336821664658e-06,-0.379599825796653,-0.14730233444966
"OE_SCORE","~","L_NABD_NrmStorWs_ratio","d1",0.128554485877884,0.0512007528120855,2.51079288520813,0.0120460348976932,0.0282028543848589,0.22890611737091
"OE_SCORE","~","L_STRM_POWER","sp1",0.305248502769133,0.0571237265115985,5.34363777382687,9.10995276992566e-08,0.193288056143684,0.417208949394582
"OE_SCORE","~","INCISION","xi1",-0.132554864275022,0.0783194221554963,-1.69249032522029,0.0905525232349482,-0.286058110989783,0.0209483824397396
"LOE_QLow_cl","~~","LOE_Qbkf_cl","",0.415502350823952,0.0503053523032261,8.2596052268837,2.22044604925031e-16,0.31690567208003,0.514099029567875
"L_STRM_POWER","~~","LOE_QLow_cl","",0.285211753948318,0.0678004142013873,4.20663733854419,2.59198589389609e-05,0.152325383976701,0.418098123919935
"L_STRM_POWER","~~","LOE_Qbkf_cl","",0.164132463488082,0.0611420362819043,2.68444548904661,0.00726502294122278,0.0442962744341085,0.283968652542056
"L_NTL","~~","L_SULF","",0.235448904218248,0.054476978777348,4.32198902183154,1.54628884481145e-05,0.128675987828093,0.342221820608403
"Lpt01_XCMGW","~~","Lpt01_XCMGW","",0.803652752227734,0.0421252756094987,19.0776853231204,0,0.721088729194293,0.886216775261175
"L_STRM_POWER","~~","L_STRM_POWER","",0.727313480411278,0.0493620731652651,14.7342571689852,0,0.630565594805127,0.824061366017429
"LOE_QLow_cl","~~","LOE_QLow_cl","",0.746036674081715,0.0458278842461751,16.2790992068106,0,0.656215671471541,0.835857676691888
"LOE_Qbkf_cl","~~","LOE_Qbkf_cl","",0.832779823174084,0.0404909413256711,20.567065025137,0,0.753419036475644,0.912140609872524
"evap_index_sc","~~","evap_index_sc","",0.541958015833861,0.0453552463765762,11.9491802852108,0,0.453063366425831,0.630852665241891
"LRBS_use","~~","LRBS_use","",0.685831098845701,0.0485729023957558,14.1196235970784,0,0.59062995952544,0.781032238165961
"L_NTL","~~","L_NTL","",0.742946292524343,0.0481221349693005,15.4387641570413,0,0.648628641125338,0.837263943923347
"L_SULF","~~","L_SULF","",0.619179004046512,0.0493725503115227,12.5409564654797,0,0.522410583611036,0.715947424481988
"INCISION","~~","INCISION","",0.973138464031159,0.0184666867541712,52.696971415912,0,0.936944423079201,1.00933250498312
"OE_SCORE","~~","OE_SCORE","",0.683666007187633,0.0470000839927093,14.5460592643554,0,0.591547535291565,0.7757844790837
"W1_HAG","~~","W1_HAG","",1,0,NA,NA,1,1
"W1_HAG","~~","W1_HNOAG","",-0.0720268396963696,0,NA,NA,-0.0720268396963696,-0.0720268396963696
"W1_HAG","~~","L_NABD_NrmStorWs_ratio","",-0.0143669146956226,0,NA,NA,-0.0143669146956226,-0.0143669146956226
"W1_HAG","~~","PSUMPY_SY_WS_sc","",-0.167368406538855,0,NA,NA,-0.167368406538855,-0.167368406538855
"W1_HAG","~~","asin_PCTFORGRS_CATRP100","",-0.0394810142276842,0,NA,NA,-0.0394810142276842,-0.0394810142276842
"W1_HAG","~~","asin_PCTIMP_WsRp100","",-0.0966615368592405,0,NA,NA,-0.0966615368592405,-0.0966615368592405
"W1_HAG","~~","drought_mean","",-0.111112551816588,0,NA,NA,-0.111112551816588,-0.111112551816588
"W1_HNOAG","~~","W1_HNOAG","",1,0,NA,NA,1,1
"W1_HNOAG","~~","L_NABD_NrmStorWs_ratio","",0.0961138065156378,0,NA,NA,0.0961138065156378,0.0961138065156378
