"Model","Estimation","X2","df","CFI","TLI","RMSEA","SRMR","AIC","n","npar","R2"
"OE","Standard","125.56","65","0.95","0.91","0.06","0.05","4577.03","271","70",0.34
"OE","Robust","120.21","65","0.96","0.93","0.06","0.05","4577.03","271","70",0.34
