"Model","Estimation","X2","df","CFI","TLI","RMSEA","SRMR","AIC","n","npar","R2"
"EPT","Standard","96.98","56","0.96","0.93","0.05","0.05","4147.29","272","61",0.46
"EPT","Robust","92.35","56","0.97","0.95","0.05","0.05","4147.29","272","61",0.46
