"Model","Estimation","X2","df","CFI","TLI","RMSEA","SRMR","AIC","n","npar","R2"
"OE","Standard","150.47","66","0.92","0.85","0.07","0.06","5084.47","271","69",0.32
"OE","Robust","148.22","66","0.93","0.88","0.07","0.06","5084.47","271","69",0.32
